count,date,dose_one,dose_two,time_slot
112651.0,2021-06-09,101047.0,101047.0,09:00-10:00
365308.0,2021-06-09,326814.0,326814.0,10:00-11:00
540931.0,2021-06-09,487063.0,487063.0,11:00-12:00
555346.0,2021-06-09,505019.0,505019.0,12:00-13:00
442132.0,2021-06-09,405403.0,405403.0,13:00-14:00
368146.0,2021-06-09,333289.0,333289.0,15:00-16:00
140063.0,2021-06-09,128379.0,128379.0,17:00-18:00
63252.0,2021-06-09,58484.0,58484.0,18:00-19:00
38040.0,2021-06-09,35290.0,35290.0,19:00-20:00
26015.0,2021-06-09,24022.0,24022.0,20:00-21:00
20534.0,2021-06-09,19220.0,19220.0,21:00-22:00
267940.0,2021-06-09,242229.0,242229.0,16:00-17:00
293854.0,2021-06-08,261162.0,261162.0,15:00-16:00
106872.0,2021-06-08,95936.0,95936.0,17:00-18:00
209263.0,2021-06-08,184708.0,184708.0,16:00-17:00
451544.0,2021-06-08,397123.0,397123.0,11:00-12:00
10228.0,2021-06-08,9519.0,9519.0,08:00-09:00
314872.0,2021-06-08,282859.0,282859.0,14:00-15:00
348450.0,2021-06-08,312004.0,312004.0,13:00-14:00
451581.0,2021-06-08,400160.0,400160.0,12:00-13:00
30494.0,2021-06-08,27807.0,27807.0,19:00-20:00
47812.0,2021-06-08,42793.0,42793.0,18:00-19:00
1043.0,2021-06-08,977.0,977.0,07:00-08:00
19902.0,2021-06-08,18161.0,18161.0,20:00-21:00
16579.0,2021-06-08,15040.0,15040.0,21:00-22:00
319122.0,2021-06-08,278456.0,278456.0,10:00-11:00
99392.0,2021-06-08,87861.0,87861.0,09:00-10:00
11580.0,2021-06-08,10384.0,10384.0,22:00-23:00
138569.0,2021-06-07,126436.0,126436.0,17:00-18:00
553357.0,2021-06-07,498239.0,498239.0,12:00-13:00
23142.0,2021-06-07,21569.0,21569.0,21:00-22:00
15598.0,2021-06-07,14417.0,14417.0,22:00-23:00
26178.0,2021-06-07,23989.0,23989.0,20:00-21:00
30165.0,2021-06-07,27882.0,27882.0,19:00-20:00
60841.0,2021-06-07,56427.0,56427.0,18:00-19:00
267606.0,2021-06-07,241600.0,241600.0,16:00-17:00
388908.0,2021-06-07,353525.0,353525.0,14:00-15:00
439929.0,2021-06-07,398647.0,398647.0,13:00-14:00
364808.0,2021-06-07,330038.0,330038.0,15:00-16:00
527790.0,2021-06-07,471846.0,471846.0,11:00-12:00
111813.0,2021-06-07,99520.0,99520.0,09:00-10:00
875.0,2021-06-07,822.0,822.0,07:00-08:00
11267.0,2021-06-07,10490.0,10490.0,08:00-09:00
359390.0,2021-06-07,320520.0,320520.0,10:00-11:00
54859.0,2021-06-06,52577.0,52577.0,09:00-10:00
12972.0,2021-06-06,12402.0,12402.0,19:00-20:00
22854.0,2021-06-06,21616.0,21616.0,18:00-19:00
49681.0,2021-06-06,46976.0,46976.0,17:00-18:00
423.0,2021-06-06,423.0,423.0,07:00-08:00
4476.0,2021-06-06,4338.0,4338.0,08:00-09:00
227275.0,2021-06-06,212888.0,212888.0,11:00-12:00
167189.0,2021-06-06,157820.0,157820.0,10:00-11:00
230027.0,2021-06-06,215627.0,215627.0,12:00-13:00
175407.0,2021-06-06,165315.0,165315.0,13:00-14:00
153111.0,2021-06-06,144831.0,144831.0,14:00-15:00
131533.0,2021-06-06,123220.0,123220.0,15:00-16:00
11462.0,2021-06-06,11001.0,11001.0,20:00-21:00
98433.0,2021-06-06,92536.0,92536.0,16:00-17:00
6541.0,2021-06-06,6032.0,6032.0,22:00-23:00
9357.0,2021-06-06,8830.0,8830.0,21:00-22:00
19842.0,2021-06-05,17871.0,17871.0,21:00-22:00
8193.0,2021-06-05,7736.0,7736.0,08:00-09:00
395073.0,2021-06-05,366021.0,366021.0,14:00-15:00
14375.0,2021-06-05,13259.0,13259.0,22:00-23:00
1098.0,2021-06-05,1009.0,1009.0,07:00-08:00
96882.0,2021-06-05,88570.0,88570.0,09:00-10:00
354088.0,2021-06-05,322118.0,322118.0,10:00-11:00
530369.0,2021-06-05,483478.0,483478.0,11:00-12:00
451462.0,2021-06-05,417017.0,417017.0,13:00-14:00
554983.0,2021-06-05,508489.0,508489.0,12:00-13:00
375343.0,2021-06-05,346402.0,346402.0,15:00-16:00
272279.0,2021-06-05,253475.0,253475.0,16:00-17:00
145823.0,2021-06-05,137551.0,137551.0,17:00-18:00
62058.0,2021-06-05,58140.0,58140.0,18:00-19:00
33559.0,2021-06-05,31665.0,31665.0,19:00-20:00
24838.0,2021-06-05,23076.0,23076.0,20:00-21:00
32076.0,2021-06-04,30195.0,30195.0,20:00-21:00
2592.0,2021-06-04,2448.0,2448.0,07:00-08:00
372773.0,2021-06-04,339680.0,339680.0,10:00-11:00
563222.0,2021-06-04,513316.0,513316.0,11:00-12:00
590615.0,2021-06-04,543292.0,543292.0,12:00-13:00
23926.0,2021-06-04,22213.0,22213.0,21:00-22:00
17189.0,2021-06-04,16162.0,16162.0,22:00-23:00
48701.0,2021-06-04,45776.0,45776.0,19:00-20:00
75220.0,2021-06-04,71537.0,71537.0,18:00-19:00
163443.0,2021-06-04,154488.0,154488.0,17:00-18:00
315337.0,2021-06-04,296234.0,296234.0,16:00-17:00
412170.0,2021-06-04,382843.0,382843.0,15:00-16:00
108393.0,2021-06-04,100445.0,100445.0,09:00-10:00
14552.0,2021-06-04,14014.0,14014.0,08:00-09:00
418562.0,2021-06-04,389274.0,389274.0,14:00-15:00
474235.0,2021-06-04,437983.0,437983.0,13:00-14:00
294096.0,2021-06-03,265197.0,265197.0,10:00-11:00
346787.0,2021-06-03,314238.0,314238.0,11:00-12:00
483427.0,2021-06-03,440302.0,440302.0,12:00-13:00
387239.0,2021-06-03,355265.0,355265.0,13:00-14:00
348823.0,2021-06-03,322158.0,322158.0,14:00-15:00
345163.0,2021-06-03,316919.0,316919.0,15:00-16:00
256606.0,2021-06-03,239294.0,239294.0,16:00-17:00
63497.0,2021-06-03,59782.0,59782.0,18:00-19:00
39212.0,2021-06-03,37110.0,37110.0,19:00-20:00
29825.0,2021-06-03,28315.0,28315.0,20:00-21:00
18221.0,2021-06-03,17274.0,17274.0,22:00-23:00
134403.0,2021-06-03,126643.0,126643.0,17:00-18:00
22540.0,2021-06-03,21263.0,21263.0,21:00-22:00
80609.0,2021-06-03,73081.0,73081.0,09:00-10:00
554.0,2021-06-03,538.0,538.0,07:00-08:00
5993.0,2021-06-03,5744.0,5744.0,08:00-09:00
272552.0,2021-06-02,247814.0,247814.0,15:00-16:00
19053.0,2021-06-02,17793.0,17793.0,20:00-21:00
26375.0,2021-06-02,24265.0,24265.0,19:00-20:00
47369.0,2021-06-02,44016.0,44016.0,18:00-19:00
105344.0,2021-06-02,97547.0,97547.0,17:00-18:00
199617.0,2021-06-02,183186.0,183186.0,16:00-17:00
314071.0,2021-06-02,284283.0,284283.0,13:00-14:00
279398.0,2021-06-02,254091.0,254091.0,14:00-15:00
396485.0,2021-06-02,357301.0,357301.0,12:00-13:00
387245.0,2021-06-02,347064.0,347064.0,11:00-12:00
256190.0,2021-06-02,228234.0,228234.0,10:00-11:00
73063.0,2021-06-02,65499.0,65499.0,09:00-10:00
6701.0,2021-06-02,6025.0,6025.0,08:00-09:00
703.0,2021-06-02,630.0,630.0,07:00-08:00
15660.0,2021-06-02,14227.0,14227.0,21:00-22:00
11954.0,2021-06-02,10713.0,10713.0,22:00-23:00
387516.0,2021-06-01,339860.0,339860.0,12:00-13:00
29498.0,2021-06-01,26747.0,26747.0,19:00-20:00
15836.0,2021-06-01,14186.0,14186.0,21:00-22:00
53099.0,2021-06-01,48607.0,48607.0,18:00-19:00
105907.0,2021-06-01,96410.0,96410.0,17:00-18:00
192526.0,2021-06-01,169971.0,169971.0,16:00-17:00
268356.0,2021-06-01,238758.0,238758.0,15:00-16:00
306773.0,2021-06-01,270465.0,270465.0,13:00-14:00
274070.0,2021-06-01,243806.0,243806.0,14:00-15:00
374161.0,2021-06-01,324998.0,324998.0,11:00-12:00
252743.0,2021-06-01,219864.0,219864.0,10:00-11:00
79582.0,2021-06-01,71378.0,71378.0,09:00-10:00
12800.0,2021-06-01,11712.0,11712.0,22:00-23:00
11612.0,2021-06-01,10935.0,10935.0,08:00-09:00
1913.0,2021-06-01,1610.0,1610.0,07:00-08:00
21329.0,2021-06-01,19509.0,19509.0,20:00-21:00
298711.0,2021-05-31,263047.0,263047.0,10:00-11:00
1683.0,2021-05-31,1553.0,1553.0,07:00-08:00
9380.0,2021-05-31,8692.0,8692.0,08:00-09:00
23384.0,2021-05-31,21216.0,21216.0,20:00-21:00
33854.0,2021-05-31,31393.0,31393.0,19:00-20:00
88649.0,2021-05-31,79030.0,79030.0,09:00-10:00
440240.0,2021-05-31,387897.0,387897.0,11:00-12:00
54017.0,2021-05-31,49719.0,49719.0,18:00-19:00
356392.0,2021-05-31,318993.0,318993.0,13:00-14:00
18894.0,2021-05-31,16471.0,16471.0,21:00-22:00
14933.0,2021-05-31,13310.0,13310.0,22:00-23:00
448465.0,2021-05-31,397244.0,397244.0,12:00-13:00
127098.0,2021-05-31,116282.0,116282.0,17:00-18:00
306175.0,2021-05-31,274715.0,274715.0,15:00-16:00
311496.0,2021-05-31,280606.0,280606.0,14:00-15:00
225551.0,2021-05-31,204035.0,204035.0,16:00-17:00
126354.0,2021-05-30,114396.0,114396.0,13:00-14:00
278.0,2021-05-30,269.0,269.0,07:00-08:00
4150.0,2021-05-30,3844.0,3844.0,08:00-09:00
39986.0,2021-05-30,37704.0,37704.0,09:00-10:00
120377.0,2021-05-30,110209.0,110209.0,10:00-11:00
165781.0,2021-05-30,150215.0,150215.0,11:00-12:00
166011.0,2021-05-30,151117.0,151117.0,12:00-13:00
100882.0,2021-05-30,93704.0,93704.0,15:00-16:00
109864.0,2021-05-30,100627.0,100627.0,14:00-15:00
74384.0,2021-05-30,68799.0,68799.0,16:00-17:00
42384.0,2021-05-30,39700.0,39700.0,17:00-18:00
14622.0,2021-05-30,13689.0,13689.0,19:00-20:00
10108.0,2021-05-30,9247.0,9247.0,20:00-21:00
8773.0,2021-05-30,8017.0,8017.0,21:00-22:00
7086.0,2021-05-30,6453.0,6453.0,22:00-23:00
19616.0,2021-05-30,18445.0,18445.0,18:00-19:00
14321.0,2021-05-29,13363.0,13363.0,22:00-23:00
391675.0,2021-05-29,353166.0,353166.0,13:00-14:00
37919.0,2021-05-29,34365.0,34365.0,19:00-20:00
124124.0,2021-05-29,112903.0,112903.0,17:00-18:00
242276.0,2021-05-29,219831.0,219831.0,16:00-17:00
326589.0,2021-05-29,297121.0,297121.0,15:00-16:00
329589.0,2021-05-29,300429.0,300429.0,14:00-15:00
23642.0,2021-05-29,21518.0,21518.0,20:00-21:00
500656.0,2021-05-29,446606.0,446606.0,12:00-13:00
491522.0,2021-05-29,435435.0,435435.0,11:00-12:00
339088.0,2021-05-29,297205.0,297205.0,10:00-11:00
109536.0,2021-05-29,93096.0,93096.0,09:00-10:00
11989.0,2021-05-29,7807.0,7807.0,08:00-09:00
1228.0,2021-05-29,578.0,578.0,07:00-08:00
18675.0,2021-05-29,17215.0,17215.0,21:00-22:00
59376.0,2021-05-29,54190.0,54190.0,18:00-19:00
15064.0,2021-05-28,13975.0,13975.0,22:00-23:00
25905.0,2021-05-28,24371.0,24371.0,20:00-21:00
36099.0,2021-05-28,33282.0,33282.0,19:00-20:00
62627.0,2021-05-28,57458.0,57458.0,18:00-19:00
129489.0,2021-05-28,120133.0,120133.0,17:00-18:00
251056.0,2021-05-28,232498.0,232498.0,16:00-17:00
333360.0,2021-05-28,308344.0,308344.0,15:00-16:00
337324.0,2021-05-28,314893.0,314893.0,14:00-15:00
384364.0,2021-05-28,356232.0,356232.0,13:00-14:00
499710.0,2021-05-28,461707.0,461707.0,12:00-13:00
482304.0,2021-05-28,444800.0,444800.0,11:00-12:00
331984.0,2021-05-28,305226.0,305226.0,10:00-11:00
107064.0,2021-05-28,100005.0,100005.0,09:00-10:00
21800.0,2021-05-28,20035.0,20035.0,21:00-22:00
1976.0,2021-05-28,1961.0,1961.0,07:00-08:00
13663.0,2021-05-28,13355.0,13355.0,08:00-09:00
23319.0,2021-05-27,21797.0,21797.0,21:00-22:00
318090.0,2021-05-27,297088.0,297088.0,15:00-16:00
16272.0,2021-05-27,15118.0,15118.0,22:00-23:00
38880.0,2021-05-27,37012.0,37012.0,19:00-20:00
61637.0,2021-05-27,58376.0,58376.0,18:00-19:00
129658.0,2021-05-27,123092.0,123092.0,17:00-18:00
233231.0,2021-05-27,219463.0,219463.0,16:00-17:00
313084.0,2021-05-27,291955.0,291955.0,14:00-15:00
1312.0,2021-05-27,1272.0,1272.0,07:00-08:00
364130.0,2021-05-27,339453.0,339453.0,13:00-14:00
464964.0,2021-05-27,431530.0,431530.0,12:00-13:00
455685.0,2021-05-27,424551.0,424551.0,11:00-12:00
322109.0,2021-05-27,299495.0,299495.0,10:00-11:00
103424.0,2021-05-27,97767.0,97767.0,09:00-10:00
14193.0,2021-05-27,13774.0,13774.0,08:00-09:00
31102.0,2021-05-27,29755.0,29755.0,20:00-21:00
79506.0,2021-05-26,75373.0,75373.0,17:00-18:00
13885.0,2021-05-26,12889.0,12889.0,21:00-22:00
11027.0,2021-05-26,10454.0,10454.0,22:00-23:00
27919.0,2021-05-26,26876.0,26876.0,19:00-20:00
39226.0,2021-05-26,37387.0,37387.0,18:00-19:00
145032.0,2021-05-26,135347.0,135347.0,16:00-17:00
203308.0,2021-05-26,188681.0,188681.0,15:00-16:00
202146.0,2021-05-26,185020.0,185020.0,14:00-15:00
243590.0,2021-05-26,222092.0,222092.0,13:00-14:00
307134.0,2021-05-26,279559.0,279559.0,12:00-13:00
297187.0,2021-05-26,269953.0,269953.0,11:00-12:00
201470.0,2021-05-26,182950.0,182950.0,10:00-11:00
62529.0,2021-05-26,58042.0,58042.0,09:00-10:00
7988.0,2021-05-26,7711.0,7711.0,08:00-09:00
611.0,2021-05-26,568.0,568.0,07:00-08:00
19203.0,2021-05-26,17914.0,17914.0,20:00-21:00
8591.0,2021-05-25,7915.0,7915.0,08:00-09:00
10522.0,2021-05-25,9404.0,9404.0,22:00-23:00
